INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(1, 3, 91, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(2, 3, 92, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(3, 3, 93, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(4, 3, 94, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(5, 3, 95, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(6, 3, 96, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(7, 4, 91, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(8, 4, 92, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(9, 4, 93, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(10, 4, 94, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(11, 4, 95, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(12, 4, 96, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(13, 5, 91, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(14, 5, 92, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(15, 5, 93, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(16, 5, 94, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(17, 5, 95, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(18, 5, 96, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(19, 6, 91, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(20, 6, 92, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(21, 6, 93, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(22, 6, 94, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(23, 6, 95, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(24, 6, 96, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(25, 7, 91, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(26, 7, 92, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(27, 7, 93, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(28, 7, 94, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(29, 7, 95, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(30, 7, 96, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(31, 8, 91, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(32, 8, 92, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(33, 8, 93, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(34, 8, 94, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(35, 8, 95, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(36, 8, 96, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(37, 9, 91, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(38, 9, 92, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(39, 9, 93, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(40, 9, 94, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(41, 9, 95, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(42, 9, 96, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(43, 10, 91, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(44, 10, 92, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(45, 10, 93, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(46, 10, 94, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(47, 10, 95, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(48, 10, 96, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(49, 11, 91, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(50, 11, 92, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(51, 11, 93, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(52, 11, 94, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(53, 11, 95, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(54, 11, 96, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(55, 12, 91, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(56, 12, 92, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(57, 12, 93, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(58, 12, 94, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(59, 12, 95, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(60, 12, 96, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(61, 13, 91, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(62, 13, 92, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(63, 13, 93, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(64, 13, 94, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(65, 13, 95, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(66, 13, 96, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(67, 14, 91, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(68, 14, 92, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(69, 14, 93, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(70, 14, 94, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(71, 14, 95, '0.36');
